Subject,Condition,Trial,Segment,Duration,VerticalSize,HorizontalSize,AbsoluteSize,AverageAbsoluteVelocity,AverageNormalizedJerkPerTrial,AveragePenPressure
2,DWM,3,6,0.2669,0.1544,0.0023,0.1544,0.9573,37.055,66.3148
2,DWM,3,7,0.2978,-0.1751,-0.0353,0.1786,0.9855,37.055,345.525
2,DWM,3,8,0.2688,0.166,0.1126,0.2006,0.9984,37.055,396.667
2,DWM,3,9,0.1901,-0.1963,0.0721,0.2091,1.1203,37.055,472.447
2,DWM,3,10,0.2256,0.1802,0.166,0.245,1.3682,37.055,486.267
2,DWM,3,11,0.1781,-0.1756,0.0212,0.1769,0.9877,37.055,498.583
2,DWM,3,12,0.2337,0.2082,0.1058,0.2335,1.3038,37.055,539.681
2,DWM,3,13,0.2123,-0.2042,0.0628,0.2136,1.1328,37.055,500.738
2,DWM,3,14,0.2887,0.2244,0.0888,0.2413,0.9135,37.055,333.034
2,DWM,3,15,0.1685,-0.026,0.1134,0.1164,0.9563,37.055,248.618
2,DWM,3,16,0.056,0.0024,0.048,0.048,0.8101,37.055,404.364
2,DWM,3,17,0.1544,-0.1762,-0.1236,0.2152,1.4161,37.055,405.323
2,DWM,3,18,0.2928,0.1539,0.23,0.2767,1.278,37.055,439.328
2,DWM,3,19,0.2814,-0.1751,0.0236,0.1766,0.6534,37.055,480.929
2,DWM,3,20,0.2394,0.1737,0.2582,0.3111,1.6912,37.055,94.6458
2,DWM,3,21,0.1661,-0.1427,-0.0855,0.1663,1.6203,37.055,439.941
2,DWM,3,22,0.1464,0.1518,0.1063,0.1854,1.5605,37.055,420.276
2,DWM,3,23,0.2201,-0.1632,0.0697,0.1775,0.9328,37.055,422.591
2,DWM,3,24,0.1749,0.344,-0.4481,0.565,3.2728,37.055,154.286
2,DWM,3,25,0.0418,-0.0092,0.0088,0.0127,0.4116,37.055,226.875
2,DWM,3,26,0.0807,0.0665,-0.0224,0.0702,1.603,37.055,0
2,DWM,3,27,0.0667,-0.0692,0.1145,0.1338,4.0679,37.055,0
2,DWM,3,28,0.0742,0.1719,0.8475,0.8648,11.4589,37.055,0
2,DWM,3,29,0.2442,-0.5118,-0.2301,0.5611,2.9459,37.055,0
2,DWM,3,30,0.1339,0.1347,0.0013,0.1347,1.165,37.055,0
2,DWM,4,1,0.3235,-0.3073,-0.08,0.3175,1.2433,16.9095,434.215
2,DWM,4,2,0.1204,0.1561,-0.1553,0.2202,1.9243,16.9095,632.292
2,DWM,4,3,0.1136,-0.0292,0.0202,0.0355,0.3616,16.9095,551.435
2,DWM,4,4,0.3044,0.0737,0.4079,0.4145,1.4015,16.9095,336.475
2,DWM,4,5,0.2879,-0.2072,0.1213,0.2401,1.1931,16.9095,137.825
2,DWM,4,6,0.2731,0.1433,-0.0596,0.1552,0.8286,16.9095,67.5273
2,DWM,4,7,0.1289,-0.1775,0.0313,0.1802,2.5623,16.9095,436.231
2,DWM,4,8,0.1722,0.1443,0.0144,0.1451,1.2298,16.9095,441.588
2,DWM,4,9,0.2137,-0.1588,0.1344,0.208,1.0562,16.9095,470.814
2,DWM,4,10,0.1396,0.0942,0.0375,0.1013,1.0728,16.9095,455.536
2,DWM,4,11,0.1168,-0.0925,0.0235,0.0954,0.8375,16.9095,493.739
2,DWM,4,12,0.1057,0.1632,0.0049,0.1632,1.6396,16.9095,464.952
2,DWM,4,13,0.1637,-0.1746,0.2486,0.3038,1.9082,16.9095,439.091
2,DWM,4,14,0.294,0.1998,0.0841,0.2168,1.1959,16.9095,269.034
2,DWM,4,15,0.1477,-0.2127,-0.0315,0.215,2.031,16.9095,443.379
2,DWM,4,16,0.2638,0.139,0.1713,0.2206,1.1289,16.9095,469.132
2,DWM,4,17,0.1321,-0.1386,0.194,0.2384,2.0066,16.9095,513.037
2,DWM,4,18,0.2614,0.1481,-0.0119,0.1486,0.9061,16.9095,207.731
2,DWM,4,19,0.1046,-0.1278,0.0972,0.1606,2.4148,16.9095,510.048
2,DWM,4,20,0.0762,0.0664,0.0831,0.1064,1.7296,16.9095,479.8
2,DWM,4,21,0.0774,-0.1025,0.0767,0.128,1.618,16.9095,523.063
2,DWM,4,22,0.2322,0.4253,-0.4392,0.6114,3.2887,16.9095,178.739
2,DWM,4,23,0.176,-0.366,1.2093,1.2635,8.6079,16.9095,0
2,DWM,4,24,0.182,0.3093,-0.3204,0.4453,2.6032,16.9095,0
2,DWM,4,25,0.1553,-0.3144,0.0709,0.3223,2.1061,16.9095,354.419
2,DWM,4,26,0.1363,0.4233,-0.0248,0.424,3.3465,16.9095,452.519
2,DWM,4,27,0.1436,-0.3416,0.2433,0.4194,3.3733,16.9095,493.345
2,DWM,4,28,0.1031,0.3514,0.0043,0.3515,3.7021,16.9095,389.1
2,DWM,4,29,0.1454,-0.4563,0.3307,0.5635,4.0372,16.9095,436.138
2,DWM,4,30,0.1518,0.1924,0.0118,0.1928,1.3566,16.9095,69.8065
2,DWM,5,1,0.078,0.0345,-0.1076,0.113,1.4671,25.887,206.067
2,DWM,5,2,0.2347,-0.3447,0.0909,0.3565,1.5443,25.887,222.277
2,DWM,5,3,0.2848,0.1504,0.0503,0.1586,1.3625,25.887,135.105
2,DWM,5,4,0.3068,-0.1419,0.2261,0.2669,1.1747,25.887,16.7903
2,DWM,5,5,0.3152,0.1072,-0.0297,0.1113,0.4788,25.887,0
2,DWM,5,6,0.1784,-0.0608,-0.0684,0.0915,0.5623,25.887,0
2,DWM,5,7,0.4081,0.0772,-0.0149,0.0786,0.648,25.887,21.7683
2,DWM,5,8,0.1329,-0.1214,0.0176,0.1227,2.2855,25.887,317.192
2,DWM,5,9,0.1459,0.0914,0.0311,0.0966,1.0587,25.887,311.233
2,DWM,5,10,0.1457,-0.1308,0.0666,0.1468,1.0237,25.887,388.759
2,DWM,5,11,0.2213,0.1141,0.0164,0.1153,0.5784,25.887,69.7045
2,DWM,5,12,0.1555,-0.1429,0.0582,0.1543,1.0034,25.887,259.839
2,DWM,5,13,0.1422,0.2019,0.0887,0.2205,1.8471,25.887,361.138
2,DWM,5,14,0.1576,-0.2041,0.1001,0.2273,1.6361,25.887,437.419
2,DWM,5,15,0.3369,0.1879,0.1613,0.2476,1.041,25.887,176.448
2,DWM,5,16,0.1275,-0.1744,-0.0262,0.1763,1.6981,25.887,413.769
2,DWM,5,17,0.0627,0.0326,0.1074,0.1122,1.8916,25.887,371.231
2,DWM,5,18,0.0575,-0.0203,0.1347,0.1362,2.3682,25.887,457.455
2,DWM,5,19,0.1003,0.1272,-0.0285,0.1304,1.363,25.887,441.2
2,DWM,5,20,0.1248,-0.1563,0.0687,0.1707,1.4004,25.887,468.16
2,DWM,5,21,0.2216,0.1665,0.2084,0.2668,1.4713,25.887,125.682
2,DWM,5,22,0.147,-0.1577,-0.0678,0.1716,2.3453,25.887,563.267
2,DWM,5,23,0.0893,0.1439,0.0884,0.1689,2.0185,25.887,461.611
2,DWM,5,24,0.1049,-0.1389,0.0013,0.1389,1.3324,25.887,508.19
2,DWM,5,25,0.1657,0.3523,-0.2797,0.4498,2.8163,25.887,164.939
2,DWM,5,26,0.253,-0.2768,0.9812,1.0195,5.5518,25.887,47.8
2,DWM,5,27,0.263,0.271,-0.3071,0.4096,1.6441,25.887,0.528302
2,DWM,5,28,0.1467,-0.2648,0.034,0.267,1.8557,25.887,251.655
2,DWM,5,29,0.1229,0.3119,0.0193,0.3125,2.738,25.887,340.56
2,DWM,5,30,0.178,-0.3237,0.1564,0.3595,2.2223,25.887,428.943
2,GEN,1,1,0.1054,0.0267,0.0478,0.0548,0.5248,24.3244,277.773
2,GEN,1,2,0.4717,-0.2755,-0.0432,0.2789,0.7056,24.3244,311.298
2,GEN,1,3,0.1581,0.0591,-0.1787,0.1883,1.1662,24.3244,569.188
2,GEN,1,4,0.0728,-0.0124,0.0308,0.0332,0.5682,24.3244,224.571
2,GEN,1,5,0.3742,0.089,0.3218,0.3338,1.0455,24.3244,275.24
2,GEN,1,6,0.2062,-0.0874,0.0824,0.1201,1.4032,24.3244,123.829
2,GEN,1,7,0.217,0.0887,0.0716,0.114,0.8514,24.3244,35.5
2,GEN,1,8,0.1809,-0.1671,-0.1028,0.1962,1.8532,24.3244,364.944
2,GEN,1,9,0.1379,0.1381,0.1088,0.1758,1.6247,24.3244,372.963
2,GEN,1,10,0.1283,-0.1068,0.051,0.1183,1.0941,24.3244,361.231
2,GEN,1,11,0.1016,0.112,0.0538,0.1243,1.4762,24.3244,320.65
2,GEN,1,12,0.1153,-0.1208,-0.0081,0.1211,1.0691,24.3244,302.783
2,GEN,1,13,0.1175,0.1456,0.1006,0.1769,1.601,24.3244,341.542
2,GEN,1,14,0.1726,-0.1359,0.0939,0.1652,1.1078,24.3244,315.941
2,GEN,1,15,0.1257,0.1441,0.0528,0.1535,1.3683,24.3244,306.962
2,GEN,1,16,0.3557,-0.1633,0.0564,0.1728,1.0506,24.3244,304.69
2,GEN,1,17,0.2617,0.131,0.2327,0.267,1.3711,24.3244,143.942
2,GEN,1,18,0.1613,-0.1321,0.0252,0.1344,0.9871,24.3244,259.156
2,GEN,1,19,0.0863,0.0803,0.126,0.1494,1.7926,24.3244,211.944
2,GEN,1,20,0.1096,-0.0613,0.0554,0.0826,1.0606,24.3244,288.81
2,GEN,1,21,0.1447,0.1376,0.0344,0.1419,1.5788,24.3244,287.379
2,GEN,1,22,0.1222,-0.1588,-0.065,0.1716,2.07,24.3244,323.84
2,GEN,1,23,0.0918,0.09,0.1216,0.1513,1.7656,24.3244,128.167
2,GEN,1,24,0.0881,-0.0431,0.0362,0.0562,0.9194,24.3244,336.5
2,GEN,1,25,0.2123,0.3207,-0.3761,0.4942,3.1851,24.3244,194.667
2,GEN,1,26,0.0659,-0.0427,-0.0783,0.0892,1.7418,24.3244,402.231
2,GEN,1,27,0.1478,0.5557,1.3592,1.4683,12.6998,24.3244,0
2,GEN,1,28,0.2681,-0.8972,-0.4033,0.9837,4.4382,24.3244,0
2,GEN,1,29,0.1825,0.2476,-0.1775,0.3047,1.7479,24.3244,0
2,GEN,1,30,0.1495,-0.1989,0.027,0.2007,1.3708,24.3244,174.967
2,GEN,2,1,0.4208,-0.2904,-0.0528,0.2951,0.7917,13.3519,340.082
2,GEN,2,2,0.1607,0.1074,-0.1852,0.2141,1.3544,13.3519,624.156
2,GEN,2,3,0.0744,-0.0161,0.0408,0.0438,0.6205,13.3519,312
2,GEN,2,4,0.2041,0.0764,0.0889,0.1172,0.5836,13.3519,40.9024
2,GEN,2,5,0.0514,-0.0062,0.0433,0.0438,1.0028,13.3519,337.2
2,GEN,2,6,0.0821,0.0173,0.1739,0.1747,2.1312,13.3519,441.313
2,GEN,2,7,0.2296,-0.1913,0.0798,0.2072,1.5204,13.3519,132.739
2,GEN,2,8,0.2561,0.1501,0.0824,0.1712,0.8308,13.3519,17.7059
2,GEN,2,9,0.2217,-0.1687,-0.0956,0.1939,1.4957,13.3519,373.6
2,GEN,2,10,0.1415,0.1534,0.109,0.1882,1.5664,13.3519,335
2,GEN,2,11,0.1405,-0.1248,0.0457,0.1328,1.0844,13.3519,333.786
2,GEN,2,12,0.1087,0.1049,0.08,0.1319,1.4449,13.3519,349.591
2,GEN,2,13,0.1362,-0.1203,-0.0059,0.1204,0.9282,13.3519,348.741
2,GEN,2,14,0.1218,0.1325,0.0727,0.1511,1.4182,13.3519,330.625
2,GEN,2,15,0.216,-0.1269,0.1088,0.1672,0.9476,13.3519,336.659
2,GEN,2,16,0.1457,0.1509,0.0859,0.1736,1.3777,13.3519,357.414
